町丁目,18歳未満_男,18歳未満_女,18～39歳_男,18～39歳_女,40～64歳_男,40～64歳_女,65歳以上_男,65歳以上_女,高齢化率,若者率
目白５丁目,181,199,717,643,535,533,220,326,0.162790698,0.405485987
西巣鴨４丁目,69,57,295,291,249,237,199,249,0.27217497,0.356014581
南長崎２丁目,133,140,520,467,446,397,263,377,0.233321181,0.359825009
南長崎１丁目,160,161,613,596,509,468,272,393,0.20964691,0.381147541
東池袋１丁目,28,32,352,200,222,129,90,89,0.156742557,0.483362522
南大塚１丁目,303,290,1432,1211,1044,920,512,701,0.189147045,0.412131608
駒込４丁目,309,301,431,474,724,809,235,348,0.160561829,0.249242633
北大塚３丁目,175,170,970,901,722,599,371,446,0.187643546,0.429719798
駒込５丁目,111,116,104,102,110,106,11,11,0.032786885,0.307004471
上池袋２丁目,130,151,761,564,655,458,375,409,0.223808164,0.378247217
駒込６丁目,265,199,540,513,597,560,323,422,0.217899971,0.307984791
南長崎６丁目,191,191,652,568,494,463,253,365,0.194523135,0.384010072
西池袋４丁目,209,263,1180,983,810,688,348,433,0.158933659,0.44017094
上池袋３丁目,206,179,999,740,744,576,428,519,0.215668413,0.396037349
雑司が谷３丁目,90,110,446,461,362,317,208,254,0.205516014,0.403469751
長崎４丁目,226,210,589,592,650,589,415,578,0.257989088,0.306832944
巣鴨１丁目,174,169,706,771,568,552,328,466,0.2126406,0.395554365
目白１丁目,141,143,116,179,266,322,73,101,0.129753915,0.219985086
巣鴨３丁目,250,244,831,846,780,783,373,529,0.19456428,0.361734254
西巣鴨１丁目,325,322,796,715,876,856,387,562,0.1961149,0.312254598
池袋２丁目,220,211,1641,1392,1072,890,444,546,0.154301746,0.472724439
目白２丁目,199,192,506,604,539,593,290,441,0.217300832,0.329964328
東池袋３丁目,178,156,806,619,629,514,155,162,0.098477788,0.442684063
駒込７丁目,101,53,209,161,262,246,211,244,0.305985205,0.248823134
東池袋５丁目,188,169,916,814,766,717,445,631,0.231597073,0.372363323
長崎１丁目,121,97,494,413,459,406,249,347,0.230471771,0.350734725
雑司が谷２丁目,167,184,518,519,568,496,240,380,0.201822917,0.337565104
長崎５丁目,134,151,513,450,509,481,287,385,0.230927835,0.330927835
千早２丁目,240,204,702,695,708,638,397,529,0.225139801,0.339654753
南池袋３丁目,114,116,420,341,333,304,200,280,0.227703985,0.361005693
要町３丁目,126,126,525,532,554,540,374,573,0.282686567,0.315522388
南大塚２丁目,275,263,960,900,832,792,554,834,0.256561922,0.343807763
南池袋１丁目,71,75,601,532,344,275,107,145,0.117209302,0.526976744
巣鴨４丁目,379,382,1008,966,1021,991,512,679,0.200572583,0.332435163
駒込１丁目,199,180,746,743,641,686,359,540,0.219589643,0.36370298
西池袋３丁目,177,182,755,730,621,521,211,289,0.143430866,0.425989673
南長崎４丁目,238,186,626,628,615,537,279,372,0.187015226,0.36024131
西池袋２丁目,190,219,939,716,689,604,290,419,0.174372848,0.40703394
千早１丁目,149,152,694,605,634,550,317,399,0.204571429,0.371142857
長崎３丁目,120,124,415,305,456,415,313,435,0.289585753,0.278745645
高松３丁目,173,185,431,364,399,374,208,308,0.211302211,0.325552826
雑司が谷１丁目,195,220,625,606,669,577,318,460,0.211989101,0.335422343
北大塚２丁目,154,140,888,779,651,640,264,379,0.16508344,0.427984596
巣鴨５丁目,209,176,522,477,568,498,391,536,0.274503998,0.295824696
池袋本町４丁目,565,627,1214,1177,1466,1332,577,718,0.16870766,0.31149036
西巣鴨３丁目,128,124,296,349,404,468,233,313,0.235853132,0.278617711
南池袋４丁目,72,59,275,216,221,165,132,177,0.234624146,0.372817008
駒込３丁目,128,117,432,437,366,354,234,318,0.231349539,0.364207879
池袋３丁目,264,266,1888,1427,1271,903,674,803,0.19703842,0.442235859
南長崎５丁目,131,133,593,583,606,527,342,441,0.233313468,0.350417163
南長崎３丁目,275,209,614,633,773,604,419,496,0.227442207,0.309967686
高田１丁目,192,167,769,611,546,520,349,467,0.225352113,0.381110191
池袋１丁目,58,52,724,478,433,247,201,228,0.177199504,0.496489054
南池袋２丁目,158,158,532,469,526,479,251,329,0.199862164,0.344934528
高田３丁目,228,229,820,721,646,612,201,324,0.138852156,0.407564136
高松２丁目,222,233,745,621,652,577,359,483,0.216341213,0.350976362
巣鴨２丁目,23,36,184,173,118,95,63,71,0.175622543,0.467889908
上池袋４丁目,312,317,748,705,909,844,393,482,0.185774947,0.308492569
千早３丁目,191,179,374,354,438,409,252,336,0.232135807,0.287406238
東池袋４丁目,298,304,716,669,852,835,304,409,0.162525644,0.315705494
池袋４丁目,102,101,932,671,574,417,273,319,0.174682797,0.473000885
千川２丁目,120,128,348,354,406,401,230,357,0.250426621,0.299488055
千早４丁目,131,121,375,356,374,349,229,328,0.246133451,0.323022536
西池袋１丁目,6,12,113,34,44,44,25,28,0.173202614,0.480392157
南大塚３丁目,176,192,890,925,763,737,307,476,0.175324675,0.406403941
高松１丁目,74,82,385,277,271,263,116,168,0.173594132,0.404645477
高田２丁目,270,262,762,661,630,659,239,360,0.155867812,0.370283633
東池袋２丁目,213,214,1616,1338,1086,787,447,548,0.159225476,0.472715635
北大塚１丁目,210,168,695,658,602,591,333,457,0.21270867,0.364297254
長崎２丁目,159,157,610,541,646,484,397,486,0.253735632,0.330747126
駒込２丁目,73,69,284,296,259,327,204,319,0.285636264,0.316766794
長崎６丁目,159,176,477,478,469,435,249,320,0.205935577,0.345638798
千川１丁目,121,117,364,375,335,321,200,311,0.238339552,0.344682836
上池袋１丁目,297,274,1148,1149,815,672,319,455,0.150906609,0.447845584
要町１丁目,182,147,852,740,684,584,396,482,0.215883944,0.391443324
西池袋５丁目,189,176,769,749,634,606,230,343,0.155032468,0.410714286
池袋本町２丁目,180,170,781,591,657,473,327,443,0.212589729,0.378796245
目白３丁目,171,158,406,454,369,435,177,244,0.174399337,0.356255178
西巣鴨２丁目,198,189,750,640,671,639,439,668,0.263948498,0.331425846
目白４丁目,205,194,619,527,601,614,350,438,0.222096956,0.322998873
池袋本町１丁目,181,133,898,681,629,456,317,405,0.195135135,0.426756757
池袋本町３丁目,159,167,597,477,549,465,423,492,0.274857315,0.322619405
要町２丁目,81,100,402,416,310,331,173,248,0.204269772,0.396894711
